"StageRank","Stage","Rider","Team","RiderCountry","StageGap","StageTime","OverallRank","OverallGap","OverallTime"
55,3,"FERNANDEZ, Ruben ","Movistar Team","ESP",0,11080,28,20,39536
56,3,"OOMEN, Sam ","Team Sunweb","NED",0,11080,20,20,39536
57,3,"PREIDLER, Georg ","FDJ","AUT",0,11080,24,20,39536
58,3,"GERRANS, Simon ","BMC Racing Team","AUS",0,11080,53,52,39568
59,3,"SIEBERG, Marcel ","Lotto Soudal","GER",0,11080,110,615,40131
60,3,"DENNIS, Rohan ","BMC Racing Team","AUS",0,11080,36,20,39536
61,3,"EG, Niklas ","Trek - Segafredo","DEN",0,11080,37,20,39536
62,3,"BARBERO, Carlos ","Movistar Team","ESP",0,11080,16,20,39536
63,3,"DE KORT, Koen ","Trek - Segafredo","NED",0,11080,61,70,39586
64,3,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",0,11080,68,93,39609
65,3,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",0,11080,31,20,39536
66,3,"MORI, Manuele ","UAE Team Emirates","ITA",0,11080,54,52,39568
67,3,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",0,11080,40,20,39536
68,3,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",0,11080,43,20,39536
69,3,"DOULL, Owain ","Team Sky","GBR",0,11080,47,20,39536
70,3,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",0,11080,79,186,39702
71,3,"MEYER, Cam ","Mitchelton-SCOTT","AUS",0,11080,44,20,39536
72,3,"ROE, Tim ","UniSA-Australia","AUS",0,11080,42,20,39536
73,3,"BOHLI, Tom ","BMC Racing Team","SUI",0,11080,55,52,39568
74,3,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",0,11080,58,60,39576
75,3,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",0,11080,84,246,39762
76,3,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",0,11080,39,20,39536
77,3,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",0,11080,45,20,39536
78,3,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",0,11080,46,20,39536
79,3,"OLIVEIRA, Nelson ","Movistar Team","POR",0,11080,57,52,39568
80,3,"SÜTTERLIN, Jasha ","Movistar Team","GER",0,11080,59,60,39576
81,3,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",0,11080,56,52,39568
82,3,"AGNOLI, Valerio ","Bahrain - Merida","ITA",0,11080,80,186,39702
83,3,"LADAGNOUS, Matthieu ","FDJ","FRA",0,11080,111,615,40131
84,3,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",0,11080,62,74,39590
85,3,"MATOS, Nuno ","Movistar Team","POR",0,11080,66,84,39600
86,3,"WISNIOWSKI, Lukasz ","Team Sky","POL",0,11080,102,485,40001
87,3,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",0,11080,86,246,39762
88,3,"PETERS, Nans ","Ag2R La Mondiale","FRA",0,11080,85,246,39762
89,3,"BOARO, Manuele ","Bahrain - Merida","ITA",24,11104,121,933,40449
90,3,"DOMONT, Axel ","Ag2R La Mondiale","FRA",26,11106,103,487,40003
91,3,"PORTER, Alex ","UniSA-Australia","AUS",26,11106,94,383,39899
92,3,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",26,11106,112,634,40150
93,3,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",26,11106,60,62,39578
94,3,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",26,11106,118,774,40290
95,3,"DUCHESNE, Antoine ","FDJ","CAN",26,11106,113,641,40157
96,3,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",26,11106,51,47,39563
97,3,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",26,11106,76,175,39691
98,3,"BONO, Matteo ","UAE Team Emirates","ITA",26,11106,73,155,39671
99,3,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",31,11111,63,78,39594
100,3,"SABATINI, Fabio ","Quick - Step Floors","ITA",31,11111,104,492,40008
101,3,"FRAME, Alex ","Trek - Segafredo","NZL",34,11114,122,971,40487
102,3,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",34,11114,97,405,39921
103,3,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",38,11118,77,178,39694
104,3,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",44,11124,114,659,40175
105,3,"SENECHAL, Florian ","Quick - Step Floors","FRA",44,11124,115,714,40230
106,3,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",48,11128,107,579,40095
107,3,"ARNDT, Nikias ","Team Sunweb","GER",48,11128,75,171,39687
108,3,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",48,11128,71,126,39642
109,3,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",54,11134,116,743,40259
110,3,"DE VRESSE, Laurens ","Astana Pro Team","BEL",56,11136,67,89,39605
111,3,"SCOTSON, Miles ","BMC Racing Team","AUS",62,11142,69,114,39630
112,3,"BODNAR, Maciej ","BORA - hansgrohe","POL",64,11144,119,870,40386
113,3,"DE GENDT, Thomas ","Lotto Soudal","BEL",64,11144,88,310,39826
114,3,"CIMOLAI, Davide ","FDJ","ITA",64,11144,126,1559,41075
115,3,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",64,11144,96,399,39915
116,3,"STORER, Michael ","Team Sunweb","AUS",89,11169,106,578,40094
117,3,"BAUER, Jack ","Mitchelton-SCOTT","NZL",89,11169,87,266,39782
118,3,"HAGA, Chad ","Team Sunweb","USA",120,11200,90,374,39890
119,3,"BENNETT, Sam ","BORA - hansgrohe","IRL",137,11217,124,1261,40777
120,3,"CASTRILLO, Jaime ","Movistar Team","ESP",142,11222,117,754,40270
121,3,"FERRARI, Roberto ","UAE Team Emirates","ITA",142,11222,125,1328,40844
122,3,"GONÇALVES, José ","Team Katusha-Alpecin","POR",150,11230,91,376,39892
123,3,"WELSFORD, Sam ","UniSA-Australia","AUS",217,11297,128,1688,41204
124,3,"BOWDEN, Scott ","UniSA-Australia","AUS",217,11297,123,1118,40634
125,3,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",217,11297,127,1688,41204
126,3,"GATTO, Oscar ","Astana Pro Team","ITA",217,11297,101,463,39979
127,3,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",294,11374,105,533,40049
128,3,"BEVIN, Patrick ","BMC Racing Team","NZL",320,11400,95,394,39910
129,3,"DIBBEN, Jonathan ","Team Sky","GBR",394,11474,129,1865,41381
1,4,"SAGAN, Peter ","BORA - hansgrohe","SVK",0,12067,1,0,51589
2,4,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",0,12067,2,2,51591
3,4,"SANCHEZ, Luis León ","Astana Pro Team","ESP",0,12067,4,10,51599
4,4,"ULISSI, Diego ","UAE Team Emirates","ITA",0,12067,5,14,51603
5,4,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",0,12067,3,9,51598
6,4,"DEVENYNS, Dries ","Quick - Step Floors","BEL",0,12067,9,14,51603
7,4,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",0,12067,15,14,51603
8,4,"COSTA, Rui ","UAE Team Emirates","POR",0,12067,7,14,51603
9,4,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",0,12067,13,14,51603
10,4,"DIDIER, Laurent ","Trek - Segafredo","LUX",0,12067,27,14,51603
11,4,"BERNAL, Egan ","Team Sky","COL",0,12067,10,14,51603
12,4,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",0,12067,14,14,51603
13,4,"PREIDLER, Georg ","FDJ","AUT",0,12067,16,14,51603
14,4,"MEYER, Cam ","Mitchelton-SCOTT","AUS",0,12067,31,14,51603
15,4,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",0,12067,8,14,51603
16,4,"GUERREIRO, Ruben ","Trek - Segafredo","POR",0,12067,18,14,51603
17,4,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",0,12067,6,14,51603
18,4,"OOMEN, Sam ","Team Sunweb","NED",0,12067,17,14,51603
19,4,"EARLE, Nathan ","UniSA-Australia","AUS",0,12067,22,14,51603
20,4,"IZAGUIRRE, Gorka ","Bahrain - Merida","ESP",0,12067,12,14,51603
21,4,"PORTE, Richie ","BMC Racing Team","AUS",0,12067,20,14,51603
22,4,"HAMILTON, Christopher ","Team Sunweb","AUS",0,12067,19,14,51603
23,4,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",0,12067,26,14,51603
24,4,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",0,12067,11,14,51603
25,4,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",0,12067,21,14,51603
26,4,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",0,12067,25,14,51603
27,4,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",0,12067,35,78,51667
28,4,"BAK YTTING, Lars ","Lotto Soudal","DEN",0,12067,23,14,51603
29,4,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",0,12067,24,14,51603
30,4,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",0,12067,30,14,51603
31,4,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",0,12067,29,14,51603
32,4,"DENNIS, Rohan ","BMC Racing Team","AUS",0,12067,28,14,51603
33,4,"CAPECCHI, Eros ","Quick - Step Floors","ITA",0,12067,32,14,51603
34,4,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",0,12067,33,14,51603
35,4,"STORER, Michael ","Team Sunweb","AUS",0,12067,62,572,52161
36,4,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",54,12121,34,65,51654
37,4,"HANSEN, Adam ","Lotto Soudal","AUS",54,12121,36,81,51670
38,4,"ROE, Tim ","UniSA-Australia","AUS",81,12148,37,95,51684
39,4,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",139,12206,46,336,51925
40,4,"SOLER, Marc ","Movistar Team","ESP",160,12227,38,174,51763
41,4,"MORI, Manuele ","UAE Team Emirates","ITA",231,12298,41,277,51866
42,4,"GERRANS, Simon ","BMC Racing Team","AUS",236,12303,43,282,51871
43,4,"AGNOLI, Valerio ","Bahrain - Merida","ITA",236,12303,49,416,52005
44,4,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",236,12303,42,282,51871
45,4,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",236,12303,44,282,51871
46,4,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",236,12303,48,416,52005
47,4,"MATOS, Nuno ","Movistar Team","POR",236,12303,45,314,51903
48,4,"EG, Niklas ","Trek - Segafredo","DEN",236,12303,39,250,51839
49,4,"ROUX, Anthony ","FDJ","FRA",245,12312,40,259,51848
50,4,"MARCATO, Marco ","UAE Team Emirates","ITA",303,12370,50,426,52015
51,4,"DE KORT, Koen ","Trek - Segafredo","NED",381,12448,51,445,52034
52,4,"ARNDT, Nikias ","Team Sunweb","GER",381,12448,58,546,52135
53,4,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",398,12465,52,452,52041
54,4,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",398,12465,53,454,52043
55,4,"DE VRESSE, Laurens ","Astana Pro Team","BEL",398,12465,54,481,52070
56,4,"WYSS, Danilo ","BMC Racing Team","SUI",398,12465,59,550,52139
57,4,"SCOTSON, Miles ","BMC Racing Team","AUS",398,12465,56,506,52095
58,4,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",398,12465,55,485,52074
59,4,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",398,12465,47,412,52001
60,4,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",481,12548,64,653,52242
61,4,"TEUNISSEN, Mike ","Team Sunweb","NED",481,12548,57,511,52100
62,4,"LADAGNOUS, Matthieu ","FDJ","FRA",540,12607,91,1149,52738
63,4,"BOARO, Manuele ","Bahrain - Merida","ITA",542,12609,109,1469,53058
64,4,"OSS, Daniel ","BORA - hansgrohe","ITA",542,12609,73,743,52332
65,4,"DOULL, Owain ","Team Sky","GBR",542,12609,61,556,52145
66,4,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",542,12609,60,556,52145
67,4,"PETERS, Nans ","Ag2R La Mondiale","FRA",542,12609,76,782,52371
68,4,"BEVIN, Patrick ","BMC Racing Team","NZL",542,12609,84,930,52519
69,4,"FERNANDEZ, Ruben ","Movistar Team","ESP",639,12706,63,653,52242
70,4,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",643,12710,66,684,52273
71,4,"DUCHESNE, Antoine ","FDJ","CAN",643,12710,95,1278,52867
72,4,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",643,12710,87,1018,52607
73,4,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",646,12713,81,861,52450
74,4,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",690,12757,90,1145,52734
75,4,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",690,12757,65,684,52273
76,4,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",690,12757,96,1318,52907
77,4,"CASTRILLO, Jaime ","Movistar Team","ESP",690,12757,107,1438,53027
78,4,"OLIVEIRA, Nelson ","Movistar Team","POR",690,12757,72,736,52325
79,4,"BARBERO, Carlos ","Movistar Team","ESP",690,12757,69,704,52293
80,4,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",690,12757,74,758,52347
81,4,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",690,12757,80,859,52448
82,4,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",690,12757,75,762,52351
83,4,"BOHLI, Tom ","BMC Racing Team","SUI",690,12757,71,736,52325
84,4,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",690,12757,83,930,52519
85,4,"VIVIANI, Elia ","Quick - Step Floors","ITA",690,12757,67,692,52281
86,4,"MORKOV, Michael ","Quick - Step Floors","DEN",690,12757,82,867,52456
87,4,"PUCCIO, Salvatore ","Team Sky","ITA",690,12757,70,715,52304
88,4,"SENECHAL, Florian ","Quick - Step Floors","FRA",690,12757,101,1398,52987
89,4,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",690,12757,89,1083,52672
90,4,"DEMPSTER, Zak ","UniSA-Australia","AUS",690,12757,77,805,52394
91,4,"BONO, Matteo ","UAE Team Emirates","ITA",690,12757,79,839,52428
92,4,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",690,12757,78,810,52399
93,4,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",690,12757,68,703,52292
94,4,"HAGA, Chad ","Team Sunweb","USA",801,12868,92,1169,52758
95,4,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",874,12941,125,2556,54145
96,4,"VON HOFF, Steele ","UniSA-Australia","AUS",874,12941,86,951,52540
97,4,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",874,12941,114,1642,53231
98,4,"GATTO, Oscar ","Astana Pro Team","ITA",877,12944,97,1334,52923
99,4,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",877,12944,94,1276,52865
100,4,"WELSFORD, Sam ","UniSA-Australia","AUS",918,12985,126,2600,54189
101,4,"DE GENDT, Thomas ","Lotto Soudal","BEL",918,12985,93,1222,52811
102,4,"BOWDEN, Scott ","UniSA-Australia","AUS",918,12985,122,2030,53619
103,4,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",918,12985,108,1445,53034
104,4,"SELIG, Rüdiger ","BORA - hansgrohe","GER",925,12992,112,1534,53123
105,4,"CONSONNI, Simone ","UAE Team Emirates","ITA",926,12993,85,940,52529
106,4,"SABATINI, Fabio ","Quick - Step Floors","ITA",926,12993,106,1412,53001
107,4,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",926,12993,116,1663,53252
108,4,"DOMONT, Axel ","Ag2R La Mondiale","FRA",926,12993,103,1407,52996
109,4,"BODNAR, Maciej ","BORA - hansgrohe","POL",926,12993,119,1790,53379
110,4,"SÜTTERLIN, Jasha ","Movistar Team","GER",992,13059,88,1046,52635
111,4,"PORTER, Alex ","UniSA-Australia","AUS",992,13059,98,1364,52953
112,4,"WISNIOWSKI, Lukasz ","Team Sky","POL",1035,13102,111,1514,53103
113,4,"SIEBERG, Marcel ","Lotto Soudal","GER",1035,13102,115,1644,53233
114,4,"BAUHAUS, Phil ","Team Sunweb","GER",1035,13102,121,1932,53521
115,4,"KORSÆTH, Truls ","Astana Pro Team","NOR",1035,13102,104,1410,52999
116,4,"MINALI, Riccardo ","Astana Pro Team","ITA",1035,13102,99,1386,52975
117,4,"BENNETT, Sam ","BORA - hansgrohe","IRL",1035,13102,124,2290,53879
118,4,"GONÇALVES, José ","Team Katusha-Alpecin","POR",1035,13102,102,1405,52994
119,4,"GREIPEL, André ","Lotto Soudal","GER",1035,13102,110,1480,53069
120,4,"LAWLESS, Christopher ","Team Sky","GBR",1124,13191,113,1579,53168
121,4,"PEDERSEN, Mads ","Trek - Segafredo","DEN",1124,13191,118,1733,53322
122,4,"FRAME, Alex ","Trek - Segafredo","NZL",1124,13191,123,2089,53678
123,4,"BAUER, Jack ","Mitchelton-SCOTT","NZL",1150,13217,105,1410,52999
124,4,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",1153,13220,120,1806,53395
125,4,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",1153,13220,117,1726,53315
126,4,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",1153,13220,100,1393,52982
127,4,"CIMOLAI, Davide ","FDJ","ITA",1173,13240,127,2726,54315
1,5,"PORTE, Richie ","BMC Racing Team","AUS",0,13342,2,0,64935
2,5,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",8,13350,1,0,64935
3,5,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",10,13352,3,16,64951
4,5,"DEVENYNS, Dries ","Quick - Step Floors","BEL",10,13352,5,20,64955
5,5,"BERNAL, Egan ","Team Sky","COL",10,13352,6,20,64955
6,5,"IZAGIRRE, Gorka ","Bahrain - Merida","ESP",10,13352,7,20,64955
7,5,"ULISSI, Diego ","UAE Team Emirates","ITA",10,13352,4,20,64955
8,5,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",14,13356,8,24,64959
9,5,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",14,13356,10,24,64959
10,5,"GUERREIRO, Ruben ","Trek - Segafredo","POR",14,13356,13,24,64959
11,5,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",14,13356,16,24,64959
12,5,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",14,13356,11,24,64959
13,5,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",14,13356,12,24,64959
14,5,"OOMEN, Sam ","Team Sunweb","NED",14,13356,14,24,64959
15,5,"HAMILTON, Christopher ","Team Sunweb","AUS",14,13356,15,24,64959
16,5,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",14,13356,9,24,64959
17,5,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",19,13361,19,29,64964
18,5,"SOLER, Marc ","Movistar Team","ESP",19,13361,35,189,65124
19,5,"EARLE, Nathan ","UniSA-Australia","AUS",19,13361,20,29,64964
20,5,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",19,13361,21,29,64964
21,5,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",19,13361,22,29,64964
22,5,"SANCHEZ, Luis León ","Astana Pro Team","ESP",19,13361,17,25,64960
23,5,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",24,13366,18,29,64964
24,5,"FERNANDEZ, Ruben ","Movistar Team","ESP",35,13377,50,684,65619
25,5,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",35,13377,23,45,64980
26,5,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",44,13386,38,376,65311
27,5,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",47,13389,24,57,64992
28,5,"MEYER, Cam ","Mitchelton-SCOTT","AUS",51,13393,25,61,64996
29,5,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",62,13404,26,72,65007
30,5,"BAK YTTING, Lars ","Lotto Soudal","DEN",72,13414,27,82,65017
31,5,"STORER, Michael ","Team Sunweb","AUS",76,13418,48,644,65579
32,5,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",76,13418,58,830,65765
33,5,"PREIDLER, Georg ","FDJ","AUT",76,13418,28,86,65021
34,5,"DOULL, Owain ","Team Sky","GBR",78,13420,46,630,65565
35,5,"EG, Niklas ","Trek - Segafredo","DEN",78,13420,36,324,65259
36,5,"CAPECCHI, Eros ","Quick - Step Floors","ITA",78,13420,30,88,65023
37,5,"DENNIS, Rohan ","BMC Racing Team","AUS",78,13420,29,88,65023
38,5,"GONÇALVES, José ","Team Katusha-Alpecin","POR",84,13426,85,1485,66420
39,5,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",105,13447,39,383,65318
40,5,"HANSEN, Adam ","Lotto Soudal","AUS",107,13449,34,184,65119
41,5,"DIDIER, Laurent ","Trek - Segafredo","LUX",107,13449,31,117,65052
42,5,"COSTA, Rui ","UAE Team Emirates","POR",116,13458,32,126,65061
43,5,"MORI, Manuele ","UAE Team Emirates","ITA",121,13463,40,394,65329
44,5,"OLIVEIRA, Nelson ","Movistar Team","POR",126,13468,59,858,65793
45,5,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",128,13470,43,540,65475
46,5,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",128,13470,49,680,65615
47,5,"GERRANS, Simon ","BMC Racing Team","AUS",148,13490,41,426,65361
48,5,"SÜTTERLIN, Jasha ","Movistar Team","GER",153,13495,73,1195,66130
49,5,"SAGAN, Peter ","BORA - hansgrohe","SVK",153,13495,33,149,65084
50,5,"VON HOFF, Steele ","UniSA-Australia","AUS",165,13507,71,1112,66047
51,5,"MARCATO, Marco ","UAE Team Emirates","ITA",175,13517,44,597,65532
52,5,"AGNOLI, Valerio ","Bahrain - Merida","ITA",204,13546,45,616,65551
53,5,"OSS, Daniel ","BORA - hansgrohe","ITA",204,13546,62,943,65878
54,5,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",222,13564,51,703,65638
55,5,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",235,13577,47,643,65578
56,5,"ARNDT, Nikias ","Team Sunweb","GER",244,13586,55,786,65721
57,5,"TEUNISSEN, Mike ","Team Sunweb","NED",244,13586,54,751,65686
58,5,"DE VRESSE, Laurens ","Astana Pro Team","BEL",266,13608,53,743,65678
59,5,"DE KORT, Koen ","Trek - Segafredo","NED",279,13621,52,720,65655
60,5,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",281,13623,60,930,65865
61,5,"WYSS, Danilo ","BMC Racing Team","SUI",281,13623,57,827,65762
62,5,"LADAGNOUS, Matthieu ","FDJ","FRA",281,13623,80,1426,66361
63,5,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",281,13623,69,1039,65974
64,5,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",281,13623,65,980,65915
65,5,"PUCCIO, Salvatore ","Team Sky","ITA",281,13623,67,992,65927
66,5,"BOARO, Manuele ","Bahrain - Merida","ITA",281,13623,92,1746,66681
67,5,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",296,13638,64,976,65911
68,5,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",296,13638,37,370,65305
69,5,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",318,13660,88,1590,66525
70,5,"ROE, Tim ","UniSA-Australia","AUS",353,13695,42,444,65379
71,5,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",375,13717,72,1181,66116
72,5,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",375,13717,93,1764,66699
73,5,"GREIPEL, André ","Lotto Soudal","GER",402,13744,97,1878,66813
74,5,"MORKOV, Michael ","Quick - Step Floors","DEN",402,13744,75,1265,66200
75,5,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",448,13790,83,1462,66397
76,5,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",448,13790,86,1527,66462
77,5,"SCOTSON, Miles ","BMC Racing Team","AUS",449,13791,63,951,65886
78,5,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",488,13830,61,936,65871
79,5,"BOWDEN, Scott ","UniSA-Australia","AUS",488,13830,119,2513,67448
80,5,"BOHLI, Tom ","BMC Racing Team","SUI",488,13830,74,1220,66155
81,5,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",488,13830,79,1414,66349
82,5,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",506,13848,76,1363,66298
83,5,"WISNIOWSKI, Lukasz ","Team Sky","POL",525,13867,101,2035,66970
84,5,"BODNAR, Maciej ","BORA - hansgrohe","POL",525,13867,113,2311,67246
85,5,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",586,13928,110,2245,67180
86,5,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",586,13928,81,1441,66376
87,5,"DE GENDT, Thomas ","Lotto Soudal","BEL",586,13928,94,1801,66736
88,5,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",596,13938,70,1046,65981
89,5,"HAGA, Chad ","Team Sunweb","USA",652,13994,95,1817,66752
90,5,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",652,13994,103,2093,67028
91,5,"GATTO, Oscar ","Astana Pro Team","ITA",652,13994,99,1982,66917
92,5,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",707,14049,77,1387,66322
93,5,"BEVIN, Patrick ","BMC Racing Team","NZL",707,14049,90,1633,66568
94,5,"DENZ, Nico ","Ag2R La Mondiale","FRA",707,14049,104,2110,67045
95,5,"DUCHESNE, Antoine ","FDJ","CAN",707,14049,98,1981,66916
96,5,"LAWLESS, Christopher ","Team Sky","GBR",707,14049,111,2282,67217
97,5,"PETERS, Nans ","Ag2R La Mondiale","FRA",707,14049,84,1485,66420
98,5,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",707,14049,66,982,65917
99,5,"BARBERO, Carlos ","Movistar Team","ESP",707,14049,78,1407,66342
100,5,"CASTRILLO, Jaime ","Movistar Team","ESP",707,14049,105,2141,67076
101,5,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",707,14049,123,3259,68194
102,5,"PORTER, Alex ","UniSA-Australia","AUS",707,14049,102,2067,67002
103,5,"WELSFORD, Sam ","UniSA-Australia","AUS",707,14049,124,3303,68238
104,5,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",707,14049,100,2020,66955
105,5,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",707,14049,96,1848,66783
106,5,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",707,14049,118,2509,67444
107,5,"MATOS, Nuno ","Movistar Team","POR",707,14049,68,1017,65952
108,5,"SIEBERG, Marcel ","Lotto Soudal","GER",707,14049,115,2347,67282
109,5,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",707,14049,114,2345,67280
110,5,"SABATINI, Fabio ","Quick - Step Floors","ITA",764,14106,108,2172,67107
111,5,"CONSONNI, Simone ","UAE Team Emirates","ITA",764,14106,91,1700,66635
